context,question,answer
Napoléon Bonaparte est devenu empereur des Français en 1804.,Quand Napoléon Bonaparte est-il devenu empereur ?,1804
La Déclaration des Droits de l’Homme et du Citoyen a été adoptée en 1789.,Quand a été adoptée la Déclaration des Droits de l’Homme et du Citoyen ?,1789
Léonard de Vinci était un artiste et inventeur italien de la Renaissance.,De quelle époque est Léonard de Vinci ?,la Renaissance
"Victor Hugo est l’auteur du roman Les Misérables, publié en 1862.",Qui a écrit Les Misérables ?,Victor Hugo
Jules Verne a écrit Vingt Mille Lieues sous les mers et Le Tour du monde en quatre-vingts jours.,Qui a écrit Vingt Mille Lieues sous les mers ?,Jules Verne
L’Empire romain s’est effondré en 476 après J.-C.,En quelle année l’Empire romain s’est-il effondré ?,476 après J.-C.
Isaac Newton a découvert la loi de la gravitation au XVIIe siècle.,Qui a découvert la loi de la gravitation ?,Isaac Newton
Albert Einstein a proposé la théorie de la relativité en 1905.,Qui a proposé la théorie de la relativité ?,Albert Einstein
Marie Curie a découvert le polonium et le radium.,Quelle scientifique a découvert le radium ?,Marie Curie
Charles Darwin a publié De l’origine des espèces en 1859.,Qui a écrit De l’origine des espèces ?,Charles Darwin
Jupiter est la plus grande planète du système solaire et possède une atmosphère composée principalement d’hydrogène et d’hélium.,Quelle est la plus grande planète du système solaire ?,Jupiter
La Terre tourne autour du Soleil en environ 365 jours.,Combien de temps met la Terre pour faire le tour du Soleil ?,environ 365 jours
La Lune est le satellite naturel de la Terre et influence les marées.,Quel est le satellite naturel de la Terre ?,La Lune
Les volcans se forment souvent aux limites des plaques tectoniques.,Où se forment souvent les volcans ?,aux limites des plaques tectoniques
L’eau bout à 100 degrés Celsius à la pression atmosphérique normale.,À quelle température l’eau bout-elle ?,100 degrés Celsius
Le dioxygène est le gaz essentiel à la respiration humaine.,Quel gaz est essentiel à la respiration humaine ?,le dioxygène
Le Soleil est une étoile située au centre du système solaire.,Qu’est-ce que le Soleil ?,une étoile
"Pablo Picasso est un peintre espagnol, fondateur du cubisme.",Quel artiste a fondé le cubisme ?,Pablo Picasso
Claude Monet est un peintre français et l’un des fondateurs de l’impressionnisme.,Quel peintre est à l’origine de l’impressionnisme ?,Claude Monet
Léonard de Vinci a peint La Joconde à la Renaissance.,Qui a peint La Joconde ?,Léonard de Vinci
Zinedine Zidane est un footballeur français célèbre pour sa carrière au Real Madrid.,Quel footballeur français a joué au Real Madrid ?,Zinedine Zidane
Usain Bolt détient le record du monde du 100 mètres.,Qui détient le record du monde du 100 mètres ?,Usain Bolt
Roger Federer est un joueur de tennis suisse considéré comme l’un des meilleurs de tous les temps.,Quel joueur de tennis est originaire de Suisse ?,Roger Federer
Michael Phelps est un nageur américain ayant remporté 23 médailles d’or olympiques.,Quel nageur a remporté 23 médailles d’or olympiques ?,Michael Phelps
Le chien est souvent appelé le meilleur ami de l’homme.,Quel animal est considéré comme le meilleur ami de l’homme ?,le chien
Le chat est un animal domestique connu pour son indépendance.,Quel animal domestique est connu pour son indépendance ?,le chat
Les dauphins sont des mammifères marins très intelligents.,Quel mammifère marin est connu pour son intelligence ?,le dauphin
L’éléphant est un animal d’Afrique ou d’Asie célèbre pour sa mémoire et sa trompe.,Quel animal est célèbre pour sa trompe ?,l’éléphant
Les abeilles produisent du miel à partir du nectar des fleurs.,Que produisent les abeilles ?,du miel
Les oiseaux migrateurs voyagent chaque année vers des régions plus chaudes.,Pourquoi les oiseaux migrateurs voyagent-ils ?,vers des régions plus chaudes
Thomas Edison a inventé l’ampoule électrique à incandescence.,Qui a inventé l’ampoule électrique ?,Thomas Edison
L’avion a été inventé par les frères Wright au début du XXe siècle.,Qui a inventé l’avion ?,les frères Wright
Internet est un réseau mondial qui relie des millions d’ordinateurs.,Qu’est-ce qu’Internet ?,un réseau mondial
L’intelligence artificielle permet aux machines d’apprendre à partir des données.,Que permet l’intelligence artificielle ?,d’apprendre à partir des données
Les smartphones sont des téléphones portables dotés de fonctions avancées comme Internet et les applications.,Que permet un smartphone ?,d’utiliser Internet et des applications
Alan Turing est considéré comme le père de l’informatique moderne.,Qui est le père de l’informatique moderne ?,Alan Turing
Zinedine Zidane a marqué deux buts de la tête en finale de la Coupe du Monde 1998.,Combien de buts Zinedine Zidane a-t-il marqués en finale de la Coupe du Monde 1998 ?,deux
Kylian Mbappé a remporté la Coupe du Monde 2018 avec l’équipe de France.,Quelle Coupe du Monde Kylian Mbappé a-t-il remportée ?,2018
Lionel Messi a remporté plusieurs Ballons d’Or pour ses performances avec le FC Barcelone.,Avec quel club Lionel Messi a-t-il remporté plusieurs Ballons d’Or ?,le FC Barcelone
"Cristiano Ronaldo est un footballeur portugais ayant joué pour Manchester United, le Real Madrid et la Juventus.",Quel footballeur portugais a joué pour le Real Madrid et la Juventus ?,Cristiano Ronaldo
Le Paris Saint-Germain est un club de football basé à Paris.,Où est basé le Paris Saint-Germain ?,à Paris
Le Real Madrid est l’un des clubs les plus titrés de la Ligue des champions de l’UEFA.,Quel club a remporté le plus de Ligues des champions ?,le Real Madrid
Didier Deschamps a remporté la Coupe du Monde en tant que joueur en 1998 et en tant qu’entraîneur en 2018.,Quelle double performance Didier Deschamps a-t-il réalisée ?,remporter la Coupe du Monde comme joueur et entraîneur
Pelé est considéré comme l’un des plus grands footballeurs de tous les temps et a remporté trois Coupes du Monde.,Combien de Coupes du Monde Pelé a-t-il remportées ?,trois
L’Olympique de Marseille a remporté la Ligue des champions en 1993.,Quel club français a remporté la Ligue des champions en 1993 ?,l’Olympique de Marseille
Zlatan Ibrahimović est un attaquant suédois connu pour ses buts spectaculaires.,Quel attaquant suédois est célèbre pour ses buts spectaculaires ?,Zlatan Ibrahimović
Antoine Griezmann joue en équipe de France et a été finaliste de l’Euro 2016.,Quel joueur français a été finaliste de l’Euro 2016 ?,Antoine Griezmann
"Le FC Barcelone joue au Camp Nou, l’un des plus grands stades d’Europe.",Dans quel stade joue le FC Barcelone ?,le Camp Nou
"Le Brésil a remporté cinq Coupes du Monde de football, un record.",Quel pays détient le record de victoires en Coupe du Monde ?,le Brésil
Diego Maradona a marqué le but de la 'Main de Dieu' lors de la Coupe du Monde 1986.,Quel joueur a marqué le but de la 'Main de Dieu' ?,Diego Maradona
L’équipe de France a remporté la Coupe du Monde 1998 en battant le Brésil 3-0.,Quelle équipe a battu le Brésil 3-0 en finale de la Coupe du Monde 1998 ?,l’équipe de France
Le club anglais Liverpool a remporté la Ligue des champions en 2019.,Quel club a remporté la Ligue des champions en 2019 ?,Liverpool
Le Ballon d’Or est une récompense annuelle attribuée au meilleur joueur de football du monde.,Que récompense le Ballon d’Or ?,le meilleur joueur de football du monde
La Coupe du Monde de football est organisée tous les quatre ans par la FIFA.,Qui organise la Coupe du Monde de football ?,la FIFA
Karim Benzema a remporté le Ballon d’Or en 2022 après une saison exceptionnelle avec le Real Madrid.,Quel joueur a remporté le Ballon d’Or 2022 ?,Karim Benzema
Neymar est un joueur brésilien connu pour sa technique et son passage au Paris Saint-Germain.,Quel joueur brésilien a joué au Paris Saint-Germain ?,Neymar
Le Kilimandjaro est la plus haute montagne d’Afrique et se situe en Tanzanie.,Quelle est la plus haute montagne d’Afrique ?,le Kilimandjaro
Le Caire est la capitale de l’Égypte et l’une des plus grandes villes d’Afrique.,Quelle est la capitale de l’Égypte ?,Le Caire
Lago est la plus grande ville du Nigeria et un important centre économique africain.,Quelle est la plus grande ville du Nigeria ?,Lagos
Le fleuve Congo est le deuxième plus long fleuve d’Afrique après le Nil.,Quel est le deuxième plus long fleuve d’Afrique ?,le fleuve Congo
Nelson Mandela a lutté contre l’apartheid et est devenu président de l’Afrique du Sud en 1994.,Qui est devenu président de l’Afrique du Sud en 1994 ?,Nelson Mandela
"Le Sénégal est connu pour son hospitalité, appelée la téranga.",Comment appelle-t-on l’hospitalité sénégalaise ?,la téranga
"Le Maroc est célèbre pour ses villes impériales comme Marrakech, Fès et Meknès.",Cite une ville impériale du Maroc.,Marrakech
Le Rwanda est surnommé le pays des mille collines pour ses paysages vallonnés.,Quel pays africain est surnommé le pays des mille collines ?,le Rwanda
"L’Afrique du Sud possède trois capitales : Pretoria, Le Cap et Bloemfontein.",Combien de capitales possède l’Afrique du Sud ?,trois
"Les pyramides de Gizeh, en Égypte, sont parmi les sept merveilles du monde antique.",Où se trouvent les pyramides de Gizeh ?,en Égypte
La monnaie utilisée dans plusieurs pays d’Afrique de l’Ouest est le franc CFA.,Quelle est la monnaie utilisée dans plusieurs pays d’Afrique de l’Ouest ?,le franc CFA
Le baobab est un arbre emblématique de l’Afrique connu pour son tronc massif.,Quel arbre emblématique d’Afrique possède un tronc massif ?,le baobab
La Côte d’Ivoire est le premier producteur mondial de cacao.,Quel pays est le premier producteur mondial de cacao ?,la Côte d’Ivoire
"Le Swahili est une langue parlée dans plusieurs pays d’Afrique de l’Est, dont le Kenya et la Tanzanie.",Dans quelle région d’Afrique parle-t-on le swahili ?,en Afrique de l’Est
L’Algérie est le plus grand pays d’Afrique par sa superficie.,Quel est le plus grand pays d’Afrique ?,l’Algérie
"Le Cap-Vert est un archipel situé dans l’océan Atlantique, au large de l’Afrique de l’Ouest.",Où se trouve le Cap-Vert ?,au large de l’Afrique de l’Ouest
Les chutes Victoria se trouvent à la frontière entre la Zambie et le Zimbabwe.,Entre quels pays se trouvent les chutes Victoria ?,la Zambie et le Zimbabwe
"Wangari Maathai, militante écologiste kényane, a reçu le prix Nobel de la paix en 2004.",Quelle militante kényane a reçu le prix Nobel de la paix en 2004 ?,Wangari Maathai
Le Nigeria est le pays le plus peuplé d’Afrique avec plus de 200 millions d’habitants.,Quel est le pays le plus peuplé d’Afrique ?,le Nigeria
Le lac Victoria est le plus grand lac d’Afrique et l’une des principales sources du Nil.,Quel est le plus grand lac d’Afrique ?,le lac Victoria
Kinshasa est la capitale de la République démocratique du Congo et l’une des plus grandes villes d’Afrique.,Quelle est la capitale de la République démocratique du Congo ?,Kinshasa
Le fleuve Congo traverse la République démocratique du Congo et est l’un des plus puissants du monde.,Quel grand fleuve traverse la République démocratique du Congo ?,le fleuve Congo
"Le volcan Nyiragongo, situé près de Goma, est l’un des volcans les plus actifs du monde.",Quel volcan actif se trouve près de Goma ?,le Nyiragongo
La République démocratique du Congo possède d’immenses forêts tropicales qui font partie du bassin du Congo.,Quel grand bassin forestier couvre une grande partie de la RDC ?,le bassin du Congo
Patrice Lumumba a été le premier Premier ministre de la République démocratique du Congo après l’indépendance en 1960.,Qui a été le premier Premier ministre de la République démocratique du Congo ?,Patrice Lumumba
La République démocratique du Congo a obtenu son indépendance de la Belgique le 30 juin 1960.,En quelle année la RDC a-t-elle obtenu son indépendance ?,1960
"La RDC est l’un des pays les plus riches du monde en ressources naturelles, notamment en cobalt et en cuivre.",Quels minéraux sont particulièrement abondants en RDC ?,le cobalt et le cuivre
"Le lingala est l’une des principales langues parlées en République démocratique du Congo, surtout à Kinshasa.",Quelle langue est largement parlée à Kinshasa ?,le lingala
"Le parc national des Virunga, situé à l’est du pays, est célèbre pour ses gorilles de montagne.",Quel parc congolais abrite les gorilles de montagne ?,le parc national des Virunga
Joseph Kabila a été président de la République démocratique du Congo de 2001 à 2019.,Qui a dirigé la RDC entre 2001 et 2019 ?,Joseph Kabila
Félix Tshisekedi est le président de la République démocratique du Congo depuis 2019.,Qui est le président de la République démocratique du Congo depuis 2019 ?,Félix Tshisekedi
"Le soukous est un style musical populaire en République démocratique du Congo, représenté par des artistes comme Papa Wemba et Koffi Olomidé.",Quel genre musical congolais est représenté par Papa Wemba ?,le soukous
La Gombe est un quartier central et administratif de la ville de Kinshasa.,Quel quartier est le centre administratif de Kinshasa ?,la Gombe
"Le stade des Martyrs est le plus grand stade de la République démocratique du Congo, situé à Kinshasa.",Quel est le plus grand stade de la RDC ?,le stade des Martyrs
Le cuivre extrait du Katanga représente une part importante des exportations congolaises.,Quelle ressource naturelle est principalement exploitée dans la province du Katanga ?,le cuivre
La ville de Lubumbashi est la deuxième plus grande ville de la République démocratique du Congo.,Quelle est la deuxième plus grande ville de la RDC ?,Lubumbashi
Le parc national de la Salonga est la plus grande réserve forestière d’Afrique et se trouve en RDC.,Quelle est la plus grande réserve forestière d’Afrique ?,le parc national de la Salonga
La musique congolaise moderne a influencé toute l’Afrique centrale avec ses rythmes et ses danses.,Quelle région du continent a été influencée par la musique congolaise ?,l’Afrique centrale
"Mobutu Sese Seko a dirigé le Zaïre, ancien nom de la RDC, pendant plus de 30 ans.",Quel dirigeant a gouverné le Zaïre pendant plus de 30 ans ?,Mobutu Sese Seko
"La RDC partage des frontières avec neuf pays, dont l’Angola, l’Ouganda et le Rwanda.",Combien de pays partagent une frontière avec la RDC ?,neuf
