instruction,response,category
"J’aime pas trop les statistiques.","Dans ce cas, concentre-toi sur le développement web ou logiciel, c’est plus pratique.","Orientation"
"Je veux choisir entre Médecine et Infirmier.","Tu veux diriger les soins ou les appliquer ?","Orientation"
"Les appliquer, j’aime aider directement.","Alors Infirmier est parfait. Tu seras au contact des patients dès le début.","Orientation"
"Mais on m’a dit que c’est moins valorisé.","Ce n’est pas vrai. Le rôle est différent, mais tout aussi essentiel. La valeur vient du dévouement, pas du titre.","Orientation"
"Je ne sais pas entre Physique et Informatique.","Tu préfères comprendre le monde ou créer des outils ?","Orientation"
"Créer, je veux inventer des choses utiles.","Alors Informatique. Physique, c’est plus théorique.","Orientation"
"Mais je suis bon en calcul.","Ça te servira aussi en Info. Certains domaines comme la robotique ou la simulation mêlent les deux.","Orientation"
"Je pourrais passer de l’un à l’autre ?","Oui, plusieurs masters mixtes le permettent.","Orientation"
"J’hésite entre Sociologie et Histoire.","Tu veux comprendre les comportements ou les événements ?","Orientation"
"Les comportements humains.","Alors Sociologie, c’est ton truc. Tu y étudieras les sociétés actuelles.","Orientation"
"Mais j’aime aussi les récits historiques.","Tu peux relier les deux : l’histoire sociale est une spécialité qui combine les deux champs.","Orientation"
"Je ne sais pas entre Génie civil et Architecture.","Tu veux construire ou concevoir ?","Orientation"
"Concevoir, j’aime imaginer des formes.","Alors Architecture. Le Génie civil, c’est plus calculs et techniques.","Orientation"
"Mais j’ai peur de manquer de stabilité.","Les deux ont des débouchés, mais Architecture demande plus de créativité et de patience pour percer.","Orientation"
"J’hésite entre Chimie et Biologie.","Tu préfères manipuler des produits ou observer le vivant ?","Orientation"
"Les deux, mais je déteste les équations.","Alors Biologie, les maths y sont moins lourds.","Orientation"
"Et si je veux faire recherche médicale ?","Tu pourras avec Biologie, dans le domaine biomédical ou la génétique.","Orientation"
"Je veux choisir entre Philosophie et Lettres modernes.","Tu veux réfléchir sur les idées ou analyser les textes ?","Orientation"
"Réfléchir, comprendre les opinions.","Alors Philosophie. C’est exigeant mais très enrichissant.","Orientation"
"Et niveau emploi ?","Tu peux enseigner, te diriger vers la communication ou même le conseil stratégique.","Orientation"
"J’hésite entre Droit et Criminologie.","Tu veux appliquer la loi ou comprendre les criminels ?","Orientation"
"Comprendre les criminels.","Alors Criminologie te conviendra mieux.","Orientation"
"Mais il faut faire beaucoup de statistiques ?","Un peu, mais rien d’insurmontable. C’est plus l’analyse des comportements qui compte.","Orientation"
"Je ne sais pas entre Médecine et Biotechnologie.","Tu veux soigner ou innover ?","Orientation"
"Innover, créer de nouveaux traitements.","Alors Biotechnologie, plus orientée recherche et industrie.","Orientation"
"Mais je veux aussi aider les gens.","Tu le feras, mais autrement : en concevant des solutions pour eux.","Orientation"
"Je veux choisir entre Droit et Économie.","Tu veux défendre ou gérer ?","Orientation"
"Défendre.","Alors Droit, mais prépare-toi à beaucoup de lectures.","Orientation"
"Et si je veux travailler dans une entreprise ?","Tu peux faire du Droit des affaires, un bon mélange des deux mondes.","Orientation"
"J’hésite entre Arts et Design.","Tu préfères créer librement ou selon un objectif ?","Orientation"
"Librement, j’aime l’expression personnelle.","Alors Arts. Le Design, c’est plus fonctionnel et orienté projet.","Orientation"
"Mais je veux aussi travailler vite.","Le Design est plus cadré, donc plus professionnel à court terme.","Orientation"
"Je ne sais pas entre Informatique et Électronique.","Tu préfères coder ou bricoler ?","Orientation"
"Bricoler, démonter, tester.","Alors Électronique. L’informatique, c’est plus abstrait.","Orientation"
"Et si je veux faire des robots ?","Alors fais Systèmes embarqués, un mélange des deux.","Orientation"
"J’hésite entre Géosciences et Informatique.","Quels sont tes points forts à l’école ?","Orientation"
"Je suis curieux, j’aime observer la nature mais j’aime aussi comprendre les systèmes.","Tu préfères être sur le terrain ou travailler sur ordinateur ?","Orientation"
"Sur le terrain, j’aime voir ce que j’étudie.","Alors les Géosciences te conviendraient mieux, c’est plus concret et pratique.","Orientation"
"Je ne sais pas choisir entre Informatique et Mathématiques.","Tu aimes plus résoudre des problèmes abstraits ou construire des choses ?","Orientation"
"Construire des choses, créer des programmes.","Alors Informatique, sans hésiter. Les maths y servent d’outil, pas de fin.","Orientation"
"Entre Biologie et Chimie, je ne sais pas quoi prendre.","Tu préfères observer le vivant ou comprendre les réactions des matières ?","Orientation"
"Observer le vivant, j’aime les animaux.","Alors Biologie, c’est ton domaine. Chimie est plus axée sur les calculs et les formules.","Orientation"
"Je veux choisir entre Droit et Gestion.","Qu’est-ce qui t’attire le plus : les lois ou le management ?","Orientation"
"Le management, je n’aime pas trop lire des textes compliqués.","Alors Gestion est plus adaptée. Le Droit demande beaucoup de lecture et de rigueur juridique.","Orientation"
"J’hésite entre Médecine et Psychologie.","Aimes-tu plus soigner le corps ou comprendre le mental ?","Orientation"
"Le mental, j’aime parler avec les gens.","Alors Psychologie. Médecine est plus scientifique et exigeante sur le plan biologique.","Orientation"
"Je ne sais pas si je dois aller en Informatique ou en Économie.","Tu préfères coder ou analyser les chiffres ?","Orientation"
"J’aime pas trop coder, mais j’aime comprendre comment l’argent circule.","Alors Économie est faite pour toi, elle reste logique mais plus orientée vers le réel.","Orientation"
"Entre Architecture et Génie civil, lequel est mieux ?","Tu es plus créatif ou logique ?","Orientation"
"Plutôt créatif.","Architecture te correspond. Le génie civil est plus technique et mathématique.","Orientation"
"Je veux choisir entre Médecine et Pharmacie.","Tu préfères soigner directement les gens ou préparer les traitements ?","Orientation"
"Préparer les traitements.","Alors Pharmacie est un bon choix, plus axé sur la chimie et la recherche.","Orientation"
"Je ne sais pas entre Sociologie et Communication.","Tu veux comprendre les comportements ou influencer les messages ?","Orientation"
"Influencer les messages.","Alors Communication. Sociologie est plus analytique, orientée vers la recherche.","Orientation"
"J’hésite entre Géologie et Physique.","Tu préfères observer la Terre ou comprendre les lois de l’univers ?","Orientation"
"La Terre, j’aime les roches et les paysages.","Alors Géologie est parfaite. Physique est plus abstraite et mathématique.","Orientation"
"Je veux faire un choix entre Droit et Sciences politiques.","Tu aimes débattre ou analyser les lois ?","Orientation"
"Débattre et comprendre le monde.","Sciences politiques t’ira mieux, c’est plus ouvert et interdisciplinaire.","Orientation"
"Entre Informatique et Statistique, je ne sais pas quoi prendre.","Tu veux programmer ou analyser les données ?","Orientation"
"Analyser les données.","Alors Statistique. L’informatique demande plus de logique de programmation.","Orientation"
"Je ne sais pas si je devrais aller en Philosophie ou Histoire.","Tu préfères réfléchir sur les idées ou les événements ?","Orientation"
"Les idées, j’aime comprendre pourquoi les gens pensent différemment.","Alors Philosophie, elle nourrit ta curiosité intellectuelle.","Orientation"
"J’hésite entre Agronomie et Environnement.","Tu veux travailler sur la production ou la protection ?","Orientation"
"La protection de la nature.","Alors Environnement. Agronomie vise plus l’optimisation agricole.","Orientation"
"Je veux choisir entre Médecine et Infirmier.","Tu veux diriger les soins ou les appliquer ?","Orientation"
"Les appliquer, être proche des patients.","Alors Infirmier. C’est plus humain, moins théorique que Médecine.","Orientation"
"Je ne sais pas entre Psychologie et Informatique.","Tu préfères analyser les gens ou les systèmes ?","Orientation"
"Les gens, clairement.","Alors Psychologie. L’informatique, c’est plus mécanique et abstrait.","Orientation"
"Entre Lettres modernes et Communication, que choisir ?","Tu préfères écrire ou convaincre ?","Orientation"
"Convaincre.","Communication est plus adaptée, plus dynamique et tournée vers le public.","Orientation"
"Je veux choisir entre Chimie et Informatique.","Tu aimes les expériences ou les algorithmes ?","Orientation"
"Les expériences, j’aime manipuler.","Alors Chimie. L’informatique, c’est plus théorique et logique.","Orientation"
"Je ne sais pas entre Informatique et Géographie.","Tu préfères coder ou explorer des territoires ?","Orientation"
"Explorer, mais j’aime aussi les cartes et les données.","Alors Géomatique, un bon compromis entre les deux domaines.","Orientation"
"Je veux choisir entre Marketing et Comptabilité.","Tu préfères créer ou calculer ?","Orientation"
"Créer, sans hésiter.","Alors Marketing, c’est ta voie. Comptabilité, c’est plus strict et chiffré.","Orientation"
"J’aime une fille dans ma fac mais je sais pas comment l’aborder","Commence pas par un compliment lourd, juste un salut sincère. Le naturel bat la drague.","Amour"
"Mais j’ai peur qu’elle me calcule pas","Tu veux qu’elle te calcule, pas qu’elle t’évalue. Respire, parle comme à une personne, pas à un examen.","Amour"
"Et si je bégaye ?","Alors elle saura que t’es humain, pas un chatbot. Tant que t’es sincère, ça passe.","Amour"
"Je veux lui écrire sur WhatsApp mais j’ai pas d’idée","Évite le 'cc sa va ?'. Demande-lui plutôt un truc précis sur un cours ou un sujet que vous partagez.","Amour"
"Genre je dis quoi ?","'Hey, t’étais dans le cours de psycho ce matin ? J’ai pas bien compris un truc.' Simple, efficace, crédible.","Amour"
"Et si elle répond froidement ?","Tu remercies et tu passes à autre chose. La dignité, c’est plus attirant que l’insistance.","Amour"
"J’ai envie de lui dire qu’elle est belle mais j’ai peur que ça fasse trop direct","Le compliment devient lourd quand il cherche une récompense. Dis-le sans attendre de retour, juste avec respect.","Amour"
"Donc pas de phrase genre 't’es magnifique, t’as volé mon cœur' ?","Sauf si tu veux la faire fuir plus vite que ton wifi à la cité.","Amour"
"Je dis quoi alors ?","Un simple 't’as un beau sourire aujourd’hui' suffit. Court, vrai, propre.","Amour"
"Je crois qu’elle m’aime bien, elle me sourit souvent","Ou elle est juste polie. Teste en lançant une discussion plus personnelle.","Amour"
"Du style ?","Demande-lui ce qu’elle étudie, ce qu’elle aime faire après les cours. Si elle relance, t’as un signal.","Amour"
"Et si elle répond sec ?","Tu ranges ton espoir et tu continues ta journée. La fierté, c’est sexy aussi.","Amour"
"J’ai un crush sur une fille du département, mais elle est toujours entourée de monde","T’approches pas en mode ninja. Trouve un moment calme, ou profite d’un prétexte neutre (cours, projet, événement).","Amour"
"Genre pendant un TP ?","Ouais, mais pas pendant la dissection d’une grenouille. Choisis ton timing, pas ton traumatisme.","Amour"
"Tu crois qu’elle remarquera ?","Si t’es sincère, oui. L’assurance tranquille attire plus que le forcing.","Amour"
"Je veux l’inviter à boire un café","Pas 'tu veux sortir avec moi ?', mais 'on prend un café après les cours ?'. L’amitié précède la romance.","Amour"
"Et si elle refuse ?","Tu souris et tu dis 'pas grave, une prochaine fois'. C’est la classe dans la défaite.","Amour"
"Et si elle accepte ?","Alors sois toi-même, pas un script TikTok. Écoute plus que tu parles.","Amour"
"Mon pote m’a dit de faire le mec distant pour qu’elle s’attache","Mauvais conseil. L’indifférence attire que les insécures. Sois vrai, pas froid.","Amour"
"Mais il dit que c’est la stratégie","L’amour n’est pas une manipulation. Si elle te plaît, sois cohérent, pas calculateur.","Amour"
"Donc je dois lui montrer que je l’aime bien ?","Exact. Mais subtilement. Un intérêt sincère vaut mille 'je t’aime' mal placés.","Amour"
"J’ai peur qu’elle me friendzone","La friendzone, c’est pas une prison, c’est un miroir. Si elle t’aime pas, t’as quand même gagné une amie.","Amour"
"Mais j’peux pas rester pote si j’ai des sentiments","Alors sois honnête. Mieux vaut une vérité qui fait mal qu’une illusion qui te ronge.","Amour"
"Tu crois qu’elle me respectera ?","Toujours. La franchise, c’est rare sur les bancs de l’amour.","Amour"
"Elle m’a ghosté après qu’on a discuté trois jours","Alors elle a validé ton module 'leçon de détachement'.","Amour"
"Je comprends pas pourquoi","Parfois c’est pas toi, c’est juste son timing. Ou son ex. Ou son réseau.","Amour"
"Je devrais relancer ?","Non. T’es pas une notification. Si elle veut, elle reviendra.","Amour"
"Je veux offrir un cadeau à une fille mais on se connaît à peine","Mauvais timing. Un cadeau sans lien, c’est comme un devoir sans cours : ça fait bizarre.","Amour"
"Mais c’est son anniversaire","Alors un truc simple : un livre, un café, un mot propre. Pas un bijou ni un parfum, t’es pas son fiancé.","Amour"
"Je veux pas qu’elle pense que je drague","Si t’es sincère et mesuré, elle verra la différence. Le respect, c’est la meilleure approche.","Amour"
"Elle sort d’une rupture, je veux l’aider","Aide, mais sans te prendre pour le pansement. Sois soutien, pas remplaçant.","Amour"
"Mais je ressens déjà quelque chose pour elle","Alors garde de la distance au début. L’amour soignant finit souvent blessé.","Amour"
"Tu crois qu’elle pourrait me voir autrement plus tard ?","Peut-être. Mais seulement si tu ne forces rien.","Amour"
"J’ai peur du rejet","Bienvenue dans l’espèce humaine. Le rejet, c’est juste un GPS qui te redirige vers la bonne personne.","Amour"
"Mais ça fait mal","Ouais, mais c’est une douleur qui prouve que t’as essayé. Et ça, c’est toujours mieux que le regret.","Amour"
"Donc faut oser ?","Toujours. Le courage fait battre le cœur plus fort que l’amour lui-même.","Amour"
"Mon pote veut qu’on sèche le cours pour aller à une fête à Matadi Kibala","Et toi, t’as un partiel lundi, non ?","VieSociale"
"Ouais, mais il dit qu’on vit qu’une fois","Ouais, et c’est justement pour ça qu’il faut pas redoubler cette 'seule fois'.","VieSociale"
"Tu veux dire que je devrais pas y aller ?","Va à la fête quand t’as la tête libre, pas la conscience coupable.","VieSociale"
"Ma pote copie tout le temps pendant les examens et me demande de lui souffler les réponses","C’est pas une amie, c’est une fraude à temps partiel.","VieSociale"
"Mais si je refuse, elle va m’en vouloir","Mieux vaut une amie vexée qu’un dossier disciplinaire.","VieSociale"
"Tu crois qu’elle s’en rend compte ?","Si elle compte sur toi, c’est qu’elle sait que t’as de la valeur. Rappelle-lui ça sans la trahir.","VieSociale"
"Y’a un gars dans ma classe qui m’énerve, j’ai envie de lui dire ses quatre vérités","Tant que tu dis pas les cinq, ça passe. Mais choisis le bon ton, pas la guerre.","VieSociale"
"J’en ai marre de ses piques en cours","Canalise ça intelligemment. Un silence bien placé vaut mieux qu’un clash viral.","VieSociale"
"Tu crois que je devrais en parler au délégué ?","Si c’est trop lourd, oui. Le courage, c’est pas toujours crier, c’est aussi signaler.","VieSociale"
"On m’a proposé de tricher avec une photo du sujet sur WhatsApp","Ne joue pas à ça. Les téléphones mentent, les sanctions non.","VieSociale"
"Mais tout le monde le fait","Tout le monde non. Et toi, t’as pas besoin de copier pour exister.","VieSociale"
"J’ai peur d’échouer sans ça","Échouer avec dignité, c’est toujours plus propre que réussir dans la honte. mdr personne vas croire a ça hahahah ","VieSociale"
"Mes potes veulent organiser une soirée sur le campus, mais sans autorisation","Les bons plans deviennent vite de mauvaises idées quand la sécu débarque.","VieSociale"
"Mais c’est juste pour s’amuser","Alors amuse-toi légalement. La musique est meilleure sans le stress de la fuite.","VieSociale"
"Ok, j’vais leur dire de demander la salle du foyer","Là, t’es dans le bon move. Le fun sans le chaos, c’est rare, profite.","VieSociale"
"J’ai prêté de l’argent à un camarade et il veut plus me rembourser","Aïe, le prêt d’amitié : le plus risqué des investissements.","VieSociale"
"Je veux pas me disputer avec lui","Pose-toi, parle-lui calmement, rappelle les faits. S’il esquive, t’as appris une leçon plus précieuse que 10 000 FC.","VieSociale"
"Donc je dois laisser tomber ?","Pas forcément. Mais ne te ruine pas pour entretenir une illusion de paix.","VieSociale"
"Mon groupe de travail veut que je fasse tout le rapport seul","Bienvenue dans la République des Fainéants Unis. Refuse le poste de Premier ministre.","VieSociale"
"Mais je veux pas avoir une mauvaise note","Une note collective obtenue par un seul, c’est de l’injustice académique. Mets les noms selon le travail fourni.","VieSociale"
"Tu crois que le prof comprendra ?","Si tu expliques calmement, oui. Les profs sentent la sincérité plus que tu ne crois.","VieSociale"
"Une fille du campus m’a proposé de venir réviser chez elle le soir","Ah, le piège classique déguisé en pédagogie. Réfléchis avant d’accepter.","VieSociale"
"Mais elle dit qu’elle a besoin d’aide","Demande-lui de réviser à la bibliothèque d’abord. Si c’est sérieux, elle acceptera.","VieSociale"
"Et si c’est pas sérieux ?","Alors t’auras évité une révision qui finit en telenovela.","VieSociale"
"Un gars dans mon groupe WhatsApp envoie des memes un peu déplacés","Si ça te met mal à l’aise, t’as raison de le remarquer. Le rire n’excuse pas tout.","VieSociale"
"Les autres rigolent pourtant","Le nombre n’a jamais justifié la bêtise. Tu peux rigoler sans valider.","VieSociale"
"Je devrais quitter le groupe ?","Ou poser une limite. Quitter, c’est fuir ; parler, c’est évoluer.","VieSociale"
"J’ai raté un devoir parce que j’ai voulu aider une amie en détresse","T’as agi humainement, pas bêtement. On perd parfois un point, mais on gagne du respect de soi.","VieSociale"
"Elle m’a même pas remercié","Fais les choses pour toi, pas pour les applaudissements. Le karma universitaire est lent, mais précis.","VieSociale"
"Tu crois qu’elle réalisera un jour ?","Peut-être pas. Mais toi, tu dormiras tranquille, et c’est mieux qu’un merci.","VieSociale"
"Mes amis m’ont invité à boire, mais j’aime pas ça","T’es pas obligé d’aimer pour appartenir. La vraie amitié commence quand on respecte ton 'non'.","VieSociale"
"Mais j’ai peur qu’ils se moquent","Ceux qui se moquent de tes limites n’ont rien compris à la maturité. Tiens bon.","VieSociale"
"Ok, je vais juste les rejoindre sans boire","Parfait. Tu gardes ta place sans perdre ton respect.","VieSociale"
"Y’a une fille que j’aime bien, mais elle est déjà en couple","Alors c’est pas ton rôle de devenir le plan B. Laisse-la vivre son histoire.","VieSociale"
"Mais elle me parle souvent, comme si...","Les signaux ambigus, c’est le brouillard des émotions. Garde ton cap.","VieSociale"
"Donc je dois couper les ponts ?","Pas forcément. Mais mets des frontières, ton cœur n’est pas un terrain de test.","VieSociale"
"Mon pote veut que je l’aide à pirater les notes du système","Tire-toi de là. L’université n’est pas un film d’action.","VieSociale"
"Mais il dit que c’est juste pour corriger une erreur","L’erreur, c’est de penser que le hacking répare l’injustice. Ça détruit ta crédibilité.","VieSociale"
"Tu crois qu’il risque gros ?","Expulsion directe. Et toi avec. Reste du côté propre du clavier.","VieSociale"
